



Epoch: [22/2000] Loss: 1.6885 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:07<00:01,  2.94it/s]
Epoch: [22/2000] Loss: 1.6822 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [23/2000] Loss: 1.6673 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:07<00:01,  2.92it/s]
Epoch: [23/2000] Loss: 1.6776 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [24/2000] Loss: 1.6534 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  2.93it/s]
Epoch: [24/2000] Loss: 1.6760 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [25/2000] Loss: 1.6570 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  2.93it/s]
Epoch: [25/2000] Loss: 1.6679 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [26/2000] Loss: 1.6650 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  2.92it/s]
Epoch: [26/2000] Loss: 1.6640 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [27/2000] Loss: 1.6544 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  2.93it/s]
Epoch: [27/2000] Loss: 1.6589 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [28/2000] Loss: 1.6592 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  2.94it/s]
Epoch: [28/2000] Loss: 1.6565 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [29/2000] Loss: 1.6425 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  2.93it/s]
Epoch: [29/2000] Loss: 1.6515 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [30/2000] Loss: 1.6471 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  2.92it/s]
Epoch: [30/2000] Loss: 1.6467 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [31/2000] Loss: 1.6369 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  2.93it/s]
Epoch: [31/2000] Loss: 1.6476 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [32/2000] Loss: 1.6513 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  2.93it/s]
Epoch: [32/2000] Loss: 1.6419 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



