



Epoch: [27/2000] Loss: 3.2551 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [28/2000] Loss: 3.2474 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [28/2000] Loss: 3.2484 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [29/2000] Loss: 3.2456 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [29/2000] Loss: 3.2447 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [30/2000] Loss: 3.2354 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [30/2000] Loss: 3.2377 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [31/2000] Loss: 3.2247 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [31/2000] Loss: 3.2316 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [32/2000] Loss: 3.2287 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [32/2000] Loss: 3.2261 Acc: 0.00%: 100%|█| 24/24 [00:07<00:00,  3.00it/s]



Epoch: [33/2000] Loss: 3.2217 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.95it/s]
Epoch: [33/2000] Loss: 3.2216 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [34/2000] Loss: 3.2131 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.95it/s]
Epoch: [34/2000] Loss: 3.2180 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [35/2000] Loss: 3.2130 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.96it/s]
Epoch: [35/2000] Loss: 3.2148 Acc: 0.00%: 100%|█| 24/24 [00:07<00:00,  3.00it/s]



Epoch: [36/2000] Loss: 3.2050 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.95it/s]
Epoch: [36/2000] Loss: 3.2094 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [37/2000] Loss: 3.2058 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.95it/s]
Epoch: [37/2000] Loss: 3.2068 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [38/2000] Loss: 3.2029 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.95it/s]
Epoch: [38/2000] Loss: 3.2039 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [39/2000] Loss: 3.2011 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.95it/s]
Epoch: [39/2000] Loss: 3.2009 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [40/2000] Loss: 3.1996 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.96it/s]
Epoch: [40/2000] Loss: 3.1979 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [41/2000] Loss: 3.1919 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.96it/s]
Epoch: [41/2000] Loss: 3.1952 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [42/2000] Loss: 3.1928 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.96it/s]
Epoch: [42/2000] Loss: 3.1925 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [43/2000] Loss: 3.1907 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.96it/s]
Epoch: [43/2000] Loss: 3.1898 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [44/2000] Loss: 3.1863 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.95it/s]
Epoch: [44/2000] Loss: 3.1874 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [45/2000] Loss: 3.1809 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.95it/s]
Epoch: [45/2000] Loss: 3.1862 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [46/2000] Loss: 3.1821 Acc: 0.00%:  83%|▊| 20/24 [00:06<00:01,  2.95it/s]
Epoch: [46/2000] Loss: 3.1832 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [47/2000] Loss: 3.1796 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.96it/s]
Epoch: [47/2000] Loss: 3.1823 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [48/2000] Loss: 3.1762 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.96it/s]
Epoch: [48/2000] Loss: 3.1790 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [49/2000] Loss: 3.1777 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.94it/s]
Epoch: [49/2000] Loss: 3.1786 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [50/2000] Loss: 3.1705 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.96it/s]
Epoch: [50/2000] Loss: 3.1757 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [51/2000] Loss: 3.1713 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.96it/s]
Epoch: [51/2000] Loss: 3.1744 Acc: 0.00%: 100%|█| 24/24 [00:07<00:00,  3.00it/s]



Epoch: [52/2000] Loss: 3.1690 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.96it/s]
Epoch: [52/2000] Loss: 3.1725 Acc: 0.00%: 100%|█| 24/24 [00:07<00:00,  3.00it/s]



Epoch: [53/2000] Loss: 3.1708 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [53/2000] Loss: 3.1709 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [54/2000] Loss: 3.1706 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
